station_id,station_name,station_name_kana,fuken_id,latitude,longitude,height,station_name_roman
47819,熊本,クマモト,86,32.8133333333,130.706666667,37.7,Kumamoto
47823,阿久根,アクネ,88,32.0266666667,130.2,40.1,Akune
47824,人吉,ヒトヨシ,86,32.2166666667,130.755,145.8,Hitoyoshi
47827,鹿児島,カゴシマ,88,31.5533333333,130.546666667,3.9,Kagoshima
47829,都城,ミヤコノジヨウ,87,31.73,131.08,153.8,Miyakonojiyou
47830,宮崎,ミヤザキ,87,31.9383333333,131.413333333,9.2,Miyazaki
47831,枕崎,マクラザキ,88,31.2716666667,130.293333333,29.5,Makurazaki
47835,油津,アブラツ,87,31.5783333333,131.406666667,2.9,Aburatsu
47836,屋久島,ヤクシマ,88,30.385,130.658333333,37.3,Yakushima
47837,種子島,タネガシマ,88,30.72,130.981666667,24.9,Tanegashima
47838,牛深,ウシブカ,86,32.1966666667,130.026666667,3.0,Ushibuka
47887,松山,マツヤマ,73,33.8433333333,132.776666667,32.2,Matsuyama
47890,多度津,タドツ,72,34.275,133.751666667,3.7,Tadotsu
47891,高松,タカマツ,72,34.3166666667,134.053333333,8.7,Takamatsu
47892,宇和島,ウワジマ,73,33.2266666667,132.551666667,2.4,Uwajima
47893,高知,コウチ,74,33.5666666667,133.548333333,0.5,Kouchi
47895,徳島,トクシマ,71,34.0666666667,134.573333333,1.6,Tokushima
47897,宿毛,スクモ,74,32.92,132.695,2.2,Sukumo
47898,清水,シミズ,74,32.7216666667,133.01,31.0,Shimizu
47899,室戸岬,ムロトミサキ,74,33.2516666667,134.176666667,185.0,Murotomisaki
47918,石垣島,イシガキジマ,91,24.3366666667,124.163333333,5.7,Ishigakijima
47927,宮古島,ミヤコジマ,91,24.7933333333,125.276666667,39.9,Miyakojima
47936,那覇,ナハ,91,26.2066666667,127.685,28.1,Naha
47945,南大東(南大東島),ミナミダイトウジマ,91,25.8283333333,131.226666667,15.3,Minamidaitoujima
